░ъзO,╖~зO,╣яе~зы╕ъи╞╖~жW║┘(дддх),╣яе~зы╕ъи╞╖~жW║┘(н^дх),░ъе~╣q╕▄,░ъе~╢╟пu,╣яе~и╞╖~жaз},░ъд║зы╕ъдH,░ъд║нt│dдH,░ъд║╣q╕▄,░ъд║╢╟пu,░ъд║жaз},▓╬д@╜s╕╣,еDнn└ч╖~╢╡е╪,о╓ну░O┐¤,о╓нудщ┤┴
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,▓╬д@├╥ищб]║√и╩оqб^ж│ннд╜еq,▓╬д@├╥ищб]║√и╩оqб^ж│ннд╜еq,852-29563330,852-29563822,P.O.BOX957 OFFSHORE INCORPORATIONS CENTRE ROAD TOWN TORTOLA BRITISH VIRGIN ISLANDS.,▓╬д@║южX├╥ищк╤еўж│ннд╜еq,░и┬э╡╪,02-27478266-337,02-27463697,╗Oе_еллnи╩кF╕ЇдTмqдGе|дK╕╣дT╝╙,23218183,╕g└ч┐─╕ъбB▒▒к╤бB┬рзы╕ъд╬░ъ╗┌кў┐─░╙л~дз╕gмЎй╙╛P╖~░╚бC,,0870115
╖sе[йY,ифеLкў┐─╗▓зU╖~,CHENG LOONG INVESTMENT PTE LTD.,CHENG LOONG INVESTMENT PTE LTD.,,,"16 RAFFLES QUAY, #23-01 HONG LEONG BUILDING SINGAPORE 048581",е┐╢йк╤еўж│ннд╜еq,╛G╡╬дк,02-22225131,2959-9288,╖sе_елкO╛Ї░╧е┴е═╕Ї1мq1╕╣,33085508,╕g└чзы╕ъ╖~░╚бC,,0870115
╖sе[йY,о№мv│f╣Bй╙┼є╖~,╣B┤нпш╣Bк╤еўж│ннд╜еq,TRANSYANG SHIPPING PTE.LTD,3378866,3381310,"10 SHENTON WAY #14-01 MAS BUILDING, SINGAPORE 079117",╢зй·о№╣Bк╤еўж│ннд╜еq,╢└▒цн╫,02-24550330,02-24550770,░Є╢йелй·╝wд@╕ЇдGдCд@╕╣,04200199,╕g└ч▓ю▓э╣B░eбB╢R╜цбBп▓╕юд╬о№╣Bй╙┼є╣B░eбB▓ю░╚еN▓z╖~░╚бC,,0870204
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,й_дO╖s░ъ╗┌ж│ннд╜еq,CHILISIN INTL`S CO.,,,╖sж╦┐д┤Єдf╢m╝w┐│╕Ї301л╤29╕╣,й_дO╖s╣qдlк╤еўж│ннд╜еq,│пої╗╩,03-5992646,,╖sж╦┐д┤Єдf╢m╝w┐│╕Ї301л╤29╕╣,47006693,╕g└чзы╕ъбB╢TйЎ╖~░╚бC,,0870204
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,NOVAS SOFTWARE INC,NOVAS SOFTWARE INC,,,"AKARA BUILDING, 24 DE CASTRD STREET, WICKHAMS CAY I, ROAD TOWN, TORTOLA BRITISH VIRGIN",лф╖╜мьз▐к╤еўж│ннд╜еq,зfнZе╨,03-5794567-217,03-579900,╖sж╦еле_б@░╧╖sж╦мь╛╟╢щ░╧╢щ░╧дG╕Їд╗вп╕╣дG╝╙,84149548,╕g└чEDA│n┼щдзжц╛P╖~░╚,,0870206
м№░ъ,╣qдl║▐╗s│y╖~,NEOPARADIGM LABS INC.,NEOPARADIGM LABS INC.,,,1735 NORTH FIRST STREET SUITE 108 SAN JOSE,дд└Їк╤еўж│ннд╜еq,п╬й·┼у,02-25989890,02-25857991,╗Oе_елдддs░╧е┴┼vжш╕Ї53╕╣15╝╙,12205020,╕g└ч┐n┼щ╣q╕Їдз│]нp╖~░╚бC,,0870209
м№░ъ,╣q╕г╗s│y╖~,л╪∙╓м№░ъдlд╜еq,AOPEN AMERICAN INCORPORATED,1-408-2321291,,"1911 LUNDY AVE. SAN JOSE, CA 95131",л╪∙╓к╤еўж│ннд╜еq,╜▓╖┼│▀,02-7710-1195,,╗Oе_ел╖s┤Єд@╕Ї128л╤15╕╣5╝╙,97306457,╕g└ч╣q╕гм█├Ў▓гл~дз▓╒╕╦д╬╢R╜ц╖~░╚бC,,0870211
╖чих,ифеLкў┐─╗▓зU╖~,LOGIN CRETE AB,LOGIN CRETE AB,46-42-250000,46-42-250025,BOX 22079 S-250 22 HELSINGBORG SWEDEN,нZ░T╣q╕гк╤еўж│ннд╜еq,зїе·─г          ,02-7057266          ,                    ,╗Oе_еллH╕q╕Їе|мqдTдEд@╕╣дQдG╝╙дздC,23631726,╕g└ч╡з░Oлм╣q╕г╛P░т╖~░╚,,0870217
дще╗,мб░╩клзх╡o╖~,д═е▀╕ъ░Tк╤еўж│ннд╜еq,"ULEAD SYSTEMS, INC.",,,"NO31 HILLS 2 SETAGAYA BUSINESS SQURE 4-10-3 YOHGA, SETAGAYA-KU",д═е▀╕ъ░Tк╤еўж│ннд╜еq,│п░╢дп          ,02-26597588         ,02-26598549         ,╗Oе_елд║┤Є╕Їд@мq358╕╣2F,23436104,╕g└ч╣q╕г│n┼щ│]нpбB┐╘╕▀д╬╣q╕г│]│╞дзжц╛P╖~░╚,,0870220
м№░ъ,е═кл├─л~╗s│y╖~,"BIOTECHNOLOGY DEVELOPMENT FUND, L.P.","BIOTECHNOLOGY DEVELOPMENT FUND, L.P.",,,"1055 LENON STREET MENLO PARK, CA 94025",ж╩▓д┬х╛╟мьз▐к╤еўж│ннд╜еq,кLкў╖╜,02-87971288,02-28836508,╗Oе_елд║┤Є░╧╖че·╕Ї431╕╣9╝╙,04822871,╕g└чзы╕ъе═клмьз▐д╜еq╖~░╚,,0870223
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,"MAG INTERNATIONALб]B.V.I.б^ CO.,LTD.","MAG INTERNATIONALб]B.V.I.б^ CO.,LTD.",,,"CITCO BUILDING, WICKHAMS CAY, P.O. BOX 662, ROAD TOWN, TORTOLA, VRITISH BIRGIN ISLANDS.",м№оцмьз▐к╤еўж│ннд╜еq,╖и║aдs        ,02-7769988          ,                    ,╗Oе_┐д(┬┬)е├йMеллOе═╕Їд@╕╣дGдQ╝╙ ,22447526,╕g└чжU║╪и╞╖~дз┬рзы╕ъд╬и·▒o▒▒к╤╕g└ч┼v,,0870226
╝w░ъ,ифеLкў┐─╗▓зU╖~,"ULEAD SYSTEMS, GMBH","ULEAD SYSTEMS, GMBH",,,WOLFENBUETTELER STR. 3338102 BRAUNSCHWEIG GERMANY,д═е▀╕ъ░Tк╤еўж│ннд╜еq,│п░╢дп          ,02-26597588         ,02-26598549         ,╗Oе_елд║┤Є╕Їд@мq358╕╣2F,23436104,╕g└ч╣q╕г│n┼щ│]нpбB┐╘╕▀д╬╣q╕г│]│╞дзжц╛P╖~░╚,,0870227
╖sе[йY,е╝д└├■ифеL╣qдl╣s▓╒еє╗s│y╖~,╖sе[йYд╬жие°╖~д╜еq,SINGAPORE CHI CHENG PTE.LTD.,65-2976511,65-2976566,100  BEACH ROAD#27-04 SINGAPORE 189702,д╬жие°╖~к╤еўж│ннд╜еq,▒iе┐╝e,02-23516273,02-23411541,╗Oе_┐д(┬┬)ддйMелн√дs╕Їднвпд╗дздG╕╣д@╝╙,33724081,╕g└ч╣qдl╣sеєбB│q░T│]│╞╣s▓╒еєдз╗s│yбB╢R╜ц╖~░╚,,0870302
е[о│дj,жш├─╗s│y╖~,к╓╣┼лO░╖▓гл~к╤еўж│ннд╜еq,CANCAP PHARMACEUTICAL  LTD.,,,"180-13111 VANIER PLACE, RICHMOND, B.C. V6V 2JI CANADA",зЎ╜ў├─л~дu╖~к╤еўж│ннд╜еq,зїз╙дх,02-25150130-201,02-25077827,йy─ї┐деVдs╢mдддs╕ЇдKе|╕╣,42042734,лO░╖н╣л~бB├─л~бBд╞зйл~дз╗s│yе[дuд╬╢R╜ц╡е╖~░╚,,0870302
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,"HUNTINGTO HOLDINGS INTERNATIONAL CO., LTD.","HUNTINGTO HOLDINGS INTERNATIONAL CO., LTD.",,,"DRAKE CHAMBERS, TORTOLA, BRITISH VIRGIN ISLANDS",└Ї╢й╣qоЁк╤еўж│ннд╜еq,▒iмxе╗,049-350876#2048,049-391272,лnзы┐дпєд┘┬эд╙ен╕Їд@мqдTднд@л╤д@е|д@╕╣,61781463,╕g└чзы╕ъ▒▒к╤╖~░╚,,0870302
м№░ъ,ифеLд╞╛╟╗sл~╗s│y╖~,CHELIX TECHNOLOGIES CORP.,CHELIX TECHNOLOGIES CORP.,408-735-1515,408-735-1586,"520MERCURY DRIVE, SUNNYVALE CA94085, U.S.A.",дд└Їк╤еўж│ннд╜еq,п╬й·┼у,02-25989890,02-25857991,╗Oе_елдддs░╧е┴┼vжш╕Ї53╕╣15╝╙,12205020,╕g└ч┴xйT╛J▓G┤╣б]CLCб^зўо╞дз╗s│yд╬иф└│е╬з▐│Nк║му╡o╖~░╚,,0870304
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,ALBATRON CORP,ALBATRON CORP,,,"P.O. BOX957, OFF SHORE INCORPORATIONS CENTRE, ROAD TOWN, TORTOLA",лC╢│░ъ╗┌мьз▐к╤еўж│ннд╜еq,м_┴o╖╜          ,02-82273277-805     ,02-82273214         ,╗Oе_┐д(┬┬)ддйMелдде┐╕ЇдCд@д╗╕╣д╗╝╙,21224842,╕g└чзы╕ъо№е~и╞╖~д╬┬рдf╢TйЎ╖~░╚,,0870304
н╗┤ф,оaоx╣q╛╣зх╡o╖~,йЇ╕р╣qдlб]н╗┤фб^ж│ннд╜еq,RALEC LELCTRONICS(H.K.)LIMITED,852-23040746,852-23040648,BLK B 11/F WIDER IND BLDG58 TSUN YIP ST KWUN TONG,йЇ╕рк╤еўж│ннд╜еq,╣∙╛_пq,07-3661067,07-362-2258,░к╢пел╖г▒ъе[дu░╧дддG╡є1╕╣,22101050,╕g└ч╣qк¤╛╣бB╣qоe╛╣╡е╣qдl▓гл~дз╢R╜ц╖~░╚бC,,0870307
н╗┤ф,╣q╕г╗s│y╖~,░ез▐╣q╕гб]н╗┤фб^к╤еўж│ннд╜еq,ABIT COMPUTER(HK)COMPANY LTD.,0028522423#8021,0028522421#6650,н╗┤ф╖sм╔╕кпF▒∙дь╣DдCдE╕╣и╚мw╢TйЎддд▀д╩╝╙д@дздGл╟,░ез▐╣q╕гк╤еўж│ннд╜еq,┐c╓Ўжs          ,02-87518888-1247    ,02-87513374         ,╗Oе_елд║┤Є░╧╢зе·╡єдTдGдT╕╣д@╝╙,23455093,╕g└чб]в░б^╖L╣q╕гд╬иф╢g├ф│]│╞дз│]нp╗s│yе[дu╢R╜ц╖~░╚,,0870312
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,н^─▌║√и╩╕sоq▒d╡╬мьз▐зы╕ък╤еўж│ннд╜еq,ACBEL POLYTECH HOLDINGS INC.,,,"P.O.BOX 957 OFFSHCRE INCORPORATIONS CENTRE, ROAD TOWN, TORTOLA  BVI",▒d╡╬мьз▐к╤еўж│ннд╜еq,│\│╙╢п,02-26217672-2533,02-86318064,╗Oе_елкQдs░╧лnи╩кF╕Ї5мq99╕╣11╝╙,12341051,д@пызы╕ъ╖~,,0870323
м№░ъ,╣qдl║▐╗s│y╖~,GLOBAL COMMANICATION,GLOBAL COMMANICATION,,,"2511 KIRSTEN LEE DRIVE, WESTLAKE VILLAGE, CA 91361 P.O. BOX 6334, THOUSAND OAKS, CA91359",░ккL╣ъ╖~к╤еўж│ннд╜еq,зї┐№╕S,02-27125311,,╗Oе_елкQдs░╧┤░д╞е_╕Ї201дз1╕╣6╝╙,11547230,╕g└чп~д╞┤╣╢ъ╗s│yбB┤╣╢ъе═▓геNдuбBIC┤·╕╒╗P│]нp╖~░╚бC,,0870324
дще╗,╣qдl║▐╗s│y╖~,еx╞W┐n┼щ╣q╕Ї╗s│yб]дще╗б^к╤еўж│ннд╜еq,TSMC JAPAN,81-45-6820670,81-45-6820673,"21F,QUEEN`S TWOER C 2-3-5 MINATO MIRAI NISHI-KU, YOKOHAMA, KANAGAWA220-6221,JAPAN",еx╞W┐n┼щ╣q╕Ї╗s│yк╤еўж│ннд╜еq,▒iй╛┐╤,035-780221,035781546,╖sж╦елкFб@░╧мь╛╟╢щ░╧дOжцд╗╕Ї8╕╣,22099131,╕g└чб]в░б^ж│├Ўеx╞Wеb╛╔┼щ╗s│yк╤еўж│д╜еqдзеb╛╔┼щ╗s│yд╬┐щеXдJж│├Ўдзл╚дз║▐▓zд╬ел│ї╜╒мd╖~░╚,,0870324
м№░ъ,╣qдl║▐╗s│y╖~,SCS иt▓╬к╤еўж│ннд╜еq,SINGE CHIP SYSTCMS CORPORATION,,,"10905 TECHNOLOGY PLACE, SAN DIEGO, CA 92127, USA",┤░лnмьз▐к╤еўж│ннд╜еq,з║ое╖╜,02-29160230-601,02-29158475,╖sе_ел╖sй▒░╧─_╛Ї╕Ї233-2╕╣9╝╙,23528103,╕g└ч│ц┤╣д∙иt▓╬дз│]нpбB╗s│yд╬╛P░тдз╖~░╚,,0870326
м№░ъ,╣qдl║▐╗s│y╖~,"AMCOM COMMUNICATIONS, INC.","AMCOM COMMUNICATIONS, INC.",,,22300 COMSAT DRIVE CLARKSBURG MD 20871 U.S.A.,┬E╖╟║ы▒Kдu╖~к╤еўж│ннд╜еq,▓°з╗дп,02-22683466-1341,02-22686216,╗Oе_┐д(┬┬)дgл░елж█е╤╡єдG╕╣,23707801,╕g└ч┬ў┤▓жбп~д╞ёS│їо─╣q┤╣┼щбB│ц┤╣╖Lкi┐n┼щ╣q╕ЇбB│q░Tе╬ж╕иt▓╬░к│t║Ї╕Ї╝╞╛┌╛ўд╬иф├Ў┴фй╩╣s▓╒еє,,0870414
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,еx╞W╣AкL╢Vлnж│ннд╜еq,"╖sбGTTCHOLDINGSб]B.V.I.б^CO.,LTD.",,,"CITCO BUILDING,WICKHAMS CAY,P.O.BOX662,ROAD TOWN,TORTOLA,B.V.I.",еx╞W╣AкLк╤еўж│ннд╜еq,║╡жWкZ          ,02-33933456         ,02_33933000         ,░Є╢йелдде┐░╧й╛з╡кF╕ЇдGмqд@дGдT╕╣дQд╗╝╙  ,07525207,╕g└чд@д┴д┴дг╣Hд╧н^─▌║√и╩╕sоqкkеOдзи╞╖~╗Pмб░╩╖~░╚бC,,0870417
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,и╚д╞мьз▐▒▒к╤к╤еўж│ннд╜еq,ACHEM TECHNOLOGY HOLDINGS LIMITED(BVI),,,"P.O.BEX 957, OFFIHARE INCOPARATIONS CENTE, ROAD TOWN TORTOLAB.V.I.",и╚мwд╞╛╟к╤еўж│ннд╜еq,жч┤_ож,02-5070232,,╗Oе_елдддs░╧╖q╖~д@╕ЇдEдQдC╕╣дK╝╙,03244705,▒qи╞┬рзы╕ъ╖~░╚бC,,0870505
╝w░ъ,╣q╕г╗s│y╖~,SOYO DEUTSCHLAND GMBH.,SOYO DEUTSCHLAND GMBH.,,,"HARTENSCHER DAMM 26A, 26129 OLDENBURG, GEMANY",▒Ў▒╢е°╖~к╤еўж│ннд╜еq,ж▒▓╨│╟          ,02-6533000          ,02-22903311         ,╗Oе_┐д(┬┬)╖s▓°елдндuдн╕ЇдGд@╕╣,23615486,╕g└ч╣q╕гиt▓╬.жU║╪╕ъ░T▓гл~д╬жU║╪╣q╕г╣s▓╒еєдз▓г╛P╖~░╚бC,,0870505
░ии╙жши╚,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,GALLANT MICRO MACHINING (M) SDN BHD,GALLANT MICRO MACHINING (M) SDN BHD,,,,зб╗и║ы▒Kдu╖~к╤еўж│ннд╜еq,╕н│╙╡o,03-5639999,22188232,╖sж╦елкFб@░╧│╨╖sд@╕Ї5дз1╕╣ ╖sж╦мь╛╟дu╖~╢щ░╧,33838628,╕g└чеb╛╔┼щ║c╕╦╛ў╛╣д╬м█├Ў╣sеє╢iеXдf║[м█├Ў║√н╫кA░╚,,0870505
ої░ъ,кў─▌╝╥иу╗s│y╖~,╣d▓╗б]оїб^ж│ннд╜еq,,660353514656,66035351464,"33RD FLOOR LAKE RAIADA OFFICE COMPLEX 193/136-137 NEW RAJDAPISEK ROAD BANGKOK 10110, THAIL",╣d▓╗е°╖~к╤еўж│ннд╜еq,кLйєо╠,03-4775141-155,03-4778017,оч╢щ┐д(┬┬)╖sл╬╢mдEдцз°дK╛FдWлCоHднд╗╕╣,04403568,╕g└чжU├■║ы▒K│s─ЄиR╝╥д╬днкў╗sл~е═▓гд╬╛P░т╖~░╚бC,,0870506
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,─_┤╝зы╕ъж│ннд╜еq,PAOT2E INVESTMENT UMITED,,,,йMофд╞╛╟к╤еўж│ннд╜еq,╖и╖▀│╟,02-89769268#8611,02-89769269,╗Oе_┐д(┬┬)днк╤╢mдд┐│╕Їд@мq6╕╣8╝╙,12526607,╕g└че═▓г╓J░Єнfд╬нл╓J░Єнf╖~░╚бC,,0870512
н╗┤ф,╡o╣qбB┐щ╣qбB░t╣q╛ў▒ё╗s│y╖~,┤╣к∙мьз▐ж│ннд╜еq,,,,10/F CAPITAL COMM BLDG. 26 LEIGHTON RD. CAUSEWAY BAY H.K.,й╥├╣к∙к╤еўж│ннд╜еq,│пмF╢й,02-87918989,02-87884501,╗Oе_елд║┤Є░╧жцй╛╕Ї42╕╣6╝╙,23640801,╕g└чддеб│B▓z╛╣д╬░╩║A└H╛ўжsи·░O╛╨┼щд╬ифеLм█├Ў╣qдl╣s▓╒еєдз╢R╜ц╖~░╚бC,,0870514
м№░ъ,╣q╕г╗s│y╖~,ADVANTECH AUTOMATION CORP,ADVANTECH AUTOMATION CORP,,,"750 EAST ARQUES AVENUE SUNNYVALE,CA94086,U.S.A",му╡╪к╤еўж│ннд╜еq,╝BзJо╢,02-2792-7818,,╗Oе_ел╖че·╕Ї26л╤20з╦1╕╣,05155853,╕g└ч╣q╕гд╬ифм█├Ў╣qдl▓гл~дз╗s│yд╬╛P░т╖~░╚,,0870515
дще╗,╕ъо╞└xжs┤C┼щ╗s│y╖~,ADVANCED MEDIA COPORATIOM,ADVANCED MEDIA COPORATIOM,81-8853-5-0333,81-8853-5-0336,"94-7TSUKINOWA, TANOCHO KOMATSUSHIMA CITY, TOKUSHIAM, 773-0008,JAPAN",дд└Їк╤еўж│ннд╜еq,п╬й·┼у,02-25989890,02-25857991,╗Oе_елдддs░╧е┴┼vжш╕Ї53╕╣15╝╙,12205020,╕g└ч╝╞жь╝vн╡е·║╨д∙к║╗s│yд╬╛P░т╖~░╚,,0870515
м№░ъ,╣qдl║▐╗s│y╖~,IP UNITY INC,IP UNITY INC,,,"2880 ZANKER.RD.,SUITE 104,SAN JOSE,CALOFORNIA 97135 U.S.A",й╥├╣к∙к╤еўж│ннд╜еq,│пмF╢й,02-87918989,02-87884501,╗Oе_елд║┤Є░╧жцй╛╕Ї42╕╣6╝╙,23640801,╕g└ч░O╛╨┼щIC│]нp╖~░╚,,0870518
н^─▌╢}░╥╕sоq,кў┐─▒▒к╤╖~,GLOBE UNION CAYMAN CORP.,GLOBE UNION CAYMAN CORP.,,,SCOTIA CENTRE 4TH FLOOR P.O.BOX2804 GEORGE TOWN GRAND CAYMAN CAYMAN ISLANDS,жи└Mе°╖~к╤еўж│ннд╜еq,╝┌╢зй·,04-25349676,04-25340840,╗Oддел╝цдl░╧еxдде[дuеXдf░╧л╪░ъ╕Ї22╕╣,30899261,╕g└ч╢R╜цдЇ└s└Yжил~╗Pеbжил~╖~░╚,,0870518
м№░ъ,╣qдl║▐╗s│y╖~,AUCTOR CORPORATION,AUCTOR CORPORATION,,,"2398WALSH AVE.SANTA CLARA,CA.95051",╡╪ої╣qдlк╤еўж│ннд╜еq,з∙лTд╕,07-3613131,07-3652441,░к╢пел╖г▒ъ░╧╖г▒ъе[дuеXдf░╧дддT╡є9╕╣,89004161,в░.еb╛╔┼щ▓гл~дз│]нpд╬му╡o╗P╛P░т,,0870528
н^─▌║√и╩╕sоq,лH░UкA░╚╖~,WORLD PEACE INTERNATIONALб]B.V.I)LTD.,WORLD PEACE INTERNATIONALб]B.V.I)LTD.,,,"P.O.BOX 662,CITCO BUILDING,WICKHAMS CAY,ROAD TOWN,TORTOLA,BRITISH VIRGIN ISLANDS",е@ен┐│╖~к╤еўж│ннд╜еq,╢└░╢▓╗,02-227885200-613,02-27821187,╗Oе_еллn┤ф░╧жие\╕Їд@мqдCд╗╕╣д╗╝╙,05091774,╕g└чзы╕ъ╖~░╚,,0870615
м№░ъ,╣qдl║▐╗s│y╖~,PROMINENT COMMUNICATIONS INC.,PROMINENT COMMUNICATIONS INC.,002-1-858451800,6195586465,10675 SORRENTO VALLEY RD.BLDG.100 SAN DIEGO CA92122 U.S.A,йЇз╗╣qдlк╤еўж│ннд╜еq,зd▒╙иD,03-578-6688,03-5632999,╖sж╦елкFб@░╧мь╛╟дu╖~╢щ░╧дOжц╕Ї16╕╣,22099548,╕g└ч│qлHRFICдзму╡o.е═▓гд╬╛P░т╖~░╚,,0870622
н^─▌║√и╩╕sоq,╣qдl║▐╗s│y╖~,и╚мw▒jнZк╤еўж│ннд╜еq,PAN-JIT ASIA INTERNATIONAL INC.,,,"P.O.BOX 957,OFFSHORE INCORPORATIONS CENTRE ROAD TOUN TORTOLABRITI VIRGIR ISLARDS",▒jнZк╤еўж│ннд╜еq,дш▒╙▓M          ,07-6243929-2726     ,07-6229304          ,░к╢п┐д(┬┬)йгдs┬эйгдsе_╕ЇдGе|╕╣,22145016,╕g└ч▒▒к╤д╜еqдз╖~░╚,,0870625
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,жnи╣зы╕ък╤еўж│ннд╜еq,"HOW BOND  INVESTMENT CO., LTD",,,"OMAR HODGE BAILDING,WICKHAMS CAY I P.O.BOX 362,ROAD,TOWN,TOTOLA,BRITISH VIRGIN ISLANDS.",кF╢з╣ъ╖~╝tк╤еўж│ннд╜еq,зdе├┬╫,06-3560511,06-3566055,╗Oлnелжwлn░╧жwйM╕ЇдGмq98╕╣,68326665,зы╕ъд╜еq,,0870630
╖sе[йY,пшк┼│f╣Bй╙┼є╖~,DIMERCO EXPRESS SINGAPORE PTE.LTD,DIMERCO EXPRESS SINGAPORE)PTE.LTD,,,"5,UPPER ALJUNIED LINK,#05-06QUARTZ INDUSTRIAL BUILDING SINGAPARE 367903",дд╡сжцпшк┼│f╣Bй╙┼єк╤еўж│ннд╜еq,┐·│є├h,27963600,,╗Oе_еле┴┼vкF╕Їд╗мqв░в╡вп╕╣в░в░╝╙,01176152,╕g└чпшк┼│f╣Bй╙┼є╖~░╚,,0870706
н╗┤ф,п╚▒i╗s│y╖~,╡b╕╫└│е╬зўо╞мьз▐ж│ннд╜еq,"K&J APPLIED MATERIAL TECHNOLOGY CO.,LTD.",,,н╗┤ф╖sм╔╕кк┌┐│к┌╕Ї╖s│г╖|│ї2оy2209л╟,│╙мRмьз▐к╤еўж│ннд╜еq,кL│╒дх,,02-77317688,╖sе_елддйM░╧л╪░╖╕Ї168╕╣8╝╙,12413104,жU├■е]╕╦зўо╞дз╗s│yе[дuд╬╢R╜ц,,0870708
н╗┤ф,ифеLкў┐─╗▓зU╖~,дд╢╘б]и╚мwб^зы╕ък╤еўж│ннд╜еq,GTM(ASIA)INVESTMENT HOLDING LIMITED,,,"1/F 70 LA SALLE RD. DOWLOON, HONG KONG",╢╘пqк╤еўж│ннд╜еq,┼U╗F░Є          ,27415000            ,27765073            ,╗Oе_елй╛з╡кF╕Їе|мqв▓впвп╕╣в╡╝╙,35535607,╕g└ч╣ян╗┤фд╬╖s┐│╢}╡oдд░ъоaзы╕ъ╖~░╚бC,,0870711
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,LEADING ENTERPRISES LIMITED,LEADING ENTERPRISES LIMITED,,,"TROPIC ISLE BUILDING,P.O. BOX 438,ROAD TOWN,TORTOLA,B.V.I",╖чмRеb╛╔┼щк╤еўж│ннд╜еq,╕нлnз╗,03-5780211,,╖sж╦елкFб@░╧мь╛╟╢щ░╧│╨╖sдG╕Ї2╕╣,22671299,┬рзы╕ъ╖~░╚,,0870714
н╗┤ф,╣qдl║▐╗s│y╖~,д[е┐е·╣qк╤еўж│ннд╜еq,POWERTIP TECHNOLOGY LIMITED,852-310-70920,852-31070936,"RM.2 9/F BLOCKA, PO LUNG C ENTRE 11 WANG CHIN RD. KOW",д[е┐е·╣qк╤еўж│ннд╜еq,д¤е@йи,04-23558168,04-23558166,╗Oддел(┬┬)дu╖~д╗╕ЇдK╕╣,22100566,╕g└ч▓G┤╣┼уе▄╛╣╝╥▓╒╗s│yе[дu╖~░╚,,0870723
н╗┤ф,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,╣Fоeб]н╗┤фб^ж│ннд╜еq,,,,,╡╪оeк╤еўж│ннд╜еq,,07-7015333-142,07-7023910,░к╢п┐д(┬┬)дj╝d╢m╗ёл╠д@╕Ї37╕╣,76409479,╕g└члO└I╡╖.╣qоe╛╣.╜u░щ.┴б╜д╣qоe╛╣.р║╜ш╣qоe╛╣.╣qию.╣q╖╜╜u.│теz.еi┼▄╣qк¤╛╣╡е▓г╛P,,0870723
м№░ъ,ифеLкў┐─╗▓зU╖~,TSI USA INC.,TSI USA INC.,408-8449393,408-8449779,3000 SCOTT BLVD. SUITE 112 SANTA CLARA. CA 95054,иt│qмьз▐к╤еўж│ннд╜еq,┐·д╕дд          ,03-5780393#505      ,03-5784110          ,╖sж╦елмь╛╟дu╖~╢щ░╧дOжцд@╕Ї1-2╕╣,22099673,╕g└ч╢TйЎ╖~░╚,,0870727
н^─▌║√и╩╕sоq,ифеLкў┐─╗▓зU╖~,GOLD ITEM GROUP LIMITED.,GOLD ITEM GROUP LIMITED.,04-24914141#6356,04-24910371,"P.O.BOX 957,OFF SHORE INCORPORATIONS CENTRE,ROAD TOWN,TORTOLA,BRITISH VIRGIN ISLANDS.",дOдsдu╖~к╤еўж│ннд╜еq,│п╖ч║a,04-3394141,04-24910371,╗Oдделдjи╜░╧дпд╞╕Ї261╕╣7╝╙,55759180,╕g└ч▒▒к╤╖~░╚бC,,0870728
┬─╝пи╚,ифеLкў┐─╗▓зU╖~,мPкe╢TйЎж│ннд╜еq,STAR RIVER TRADING LIMITED,,,"OFFHSORE CHAMBERS,P.O. BOX217,APIA,WESTERN SAMOU",║aмP╣q╜uдu╖~к╤еўж│ннд╜еq,д¤кF╛╦,06-2705211,06-2700599,╗Oлnелдп╝w░╧дде┐╕Ї3мq231╕╣,73341336,╕g└ч╢iеXдf╢TйЎдз╖~░╚бC,,0870731
н^─▌║√и╩╕sоq,╣qдl║▐╗s│y╖~,WINTECH MICROELECTRONICS HOLDING LIMITED.,WINTECH MICROELECTRONICS HOLDING LIMITED.,,,TROPIC ISLE BUILDING P.O.BOX 438 ROAD TOWN TORTOLA VIRGINISLAND BRITISH,дх╛чмьз▐к╤еўж│ннд╜еq,╛Gдхйv,02-82269088#8746,02-82269322,╖sе_елддйM░╧дде┐╕Ї738╕╣14╝╙,84498860,╕ъ░T│n┼щкA░╚╖~,,0870803
м№░ъ,╣qдl║▐╗s│y╖~,MULTIPLES INC.,MULTIPLES INC.,,,115 CORPORATE BOULEVARD SOUTH PLAIN FIELD NJ07080 USA,йMжикY╖~к╤еўж│ннд╜еq,кЇе▀░э,02-23970858,02-23951110,╗Oе_еллnи╩кF╕ЇдTмq16╕╣4╝╙,03228304,╕g└че·┼╓йMеb╛╔┼щ╣pоgм█├Ў▓гл~╗s│yбB╛P░т╖~░╚,,0870806
